id,precio,marca,modelo,foto,anio,kilometraje,motor,transmision,peso,ubiActual,histAccident,histService,tipoVehiculo,duenio
1,15890.0,Hyundai,Santa Fe,Hundai-SantaFe-2022,2022,30000,1.2L,manual,935,Quito,null,15-1-2023;Cambio de aceite;30.0;Aceite sintético/10-4-2023;Rotación de neumáticos;20.0;Rotación estándar,CARRO,evaluador
2,18110.0,Hyundai,Sonata Hybrid,Hundai-SonataHybrid-2017,2017,15000,1.6L,manual,1097,Guayaquil,10-3-2023;Colisión trasera;1200.0/25-2-2023;Colisión múltiple;7000.0,20-2-2023;Cambio de filtro de aire;15.0;Filtro nuevo/10-5-2023;Alineación;40.0;Alineación completa,CARRO,sebsm1234
3,20000.0,Hyundai,SonataHybrid,Hundai-SonataHybrid-2022,2022,20000,1.5L,manual,1065,Cuenca,15-8-2022;Colisión lateral;1500.0,12-3-2023;Cambio de bujías;25.0;Bujías nuevas/22-6-2023;Inspección de frenos;35.0;Inspección completa,CARRO,sebsm1234
4,20440.0,Hyundai,Tucson,Hundai-Tucson-2017,2017,25000,1.6L,automática,982,Loja,null,18-1-2023;Cambio de batería;80.0;Batería nueva/8-4-2023;Limpieza de inyectores;50.0;Limpieza completa,CARRO,evaluador
5,15310.0,Hyundai,Tucson,Hundai-Tucson-2020,2020,30000,1.6L,manual,1050,Manta,22-5-2023;Daño en puerta;500.0,15-3-2023;Revisión de transmisión;100.0;Transmisión completa/25-6-2023;Mantenimiento de sistema eléctrico;60.0;Revisión y ajuste,CARRO,sebsm1234
6,25500.0,Kia,Niro Hybrid,Kia-NiroHibrid-2021,2021,18000,1.0L Turbo,automática,1050,Portoviejo,null,22-1-2023;Cambio de aceite;30.0;Aceite sintético/15-4-2023;Rotación de neumáticos;20.0;Rotación estándar,CARRO,sebsm1234
7,23627.0,Kia,Niro Hybrid,Kia-NiroHibrid-2024,2024,20000,1.6L,automática,1045,Esmeraldas,null,18-2-2023;Inspección de frenos;35.0;Inspección completa/12-5-2023;Cambio de filtro de aire;15.0;Filtro nuevo,CARRO,sebsm1234
8,25733.0,Kia,Picando LX,Kia-PicandoLX-2017,2017,35000,2.3L EcoBoost I-4,automática,2009,Ambato,12-11-2022;Choque frontal;3000.0,30-1-2023;Revisión de suspensión;70.0;Suspensión ajustada/20-4-2023;Alineación;40.0;Alineación completa,CARRO,evaluador
9,15000.0,Kia,Picando LX,Kia-PicandoLX-2023,2023,20000,1.8L I-4,automática,1300,Santo Domingo,null,15-2-2023;Cambio de aceite;30.0;Aceite sintético/10-5-2023;Inspección general;50.0;Revisión completa,CARRO,sebsm1234
10,40450.0,Kia,Sportage,Kia-Sportage-2021,2021,15000,5.3L V8,automática,2480,Riobamba,null,20-1-2023;Mantenimiento del sistema de frenos;45.0;Revisión y ajuste/12-4-2023;Rotación de neumáticos;20.0;Rotación estándar,CARRO,sebsm1234
